home_team,away_team
Richmond,Wofford
Western Michigan,Adrian
Cal State Bakersfield,Bethesda University (CA)
Middle Tennessee,Chattanooga
Citadel,Columbia International
Hartford,Fairfield
North Florida,Florida Atlantic
Norfolk State,Hampton
Appalachian State,LaGrange
Bradley,Lewis
Southeast Missouri State,Lipscomb
UCSB,Loyola Marymount
Eastern Kentucky,Morehead State
Coastal Carolina,North Carolina Central
East Carolina,UNC Wilmington
Arizona,Northern Arizona
James Madison,Old Dominion
Charlotte,South Carolina State
