home,away,predict_kp,date,draft_kings,home_cover,win_kp,percent_chance,bet
Utah St.,San Diego St.,1,2021-01-14,1.0,0.0,0.8052651902769881,0.8052651902769881,San Diego St.
UCLA,Washington St.,12,2021-01-14,9.0,1.0,0.7816995640437224,0.7816995640437224,UCLA
Montana,Northern Arizona,12,2021-01-14,12.5,0.0,0.7406141434643981,0.7406141434643981,Northern Arizona
Portland,San Francisco,-12,2021-01-14,-13.0,0.0,0.6972960658859135,0.6972960658859135,San Francisco
USC Upstate,Hampton,4,2021-01-14,4.5,1.0,0.6653083512204127,0.6653083512204127,USC Upstate
Winthrop,Longwood,15,2021-01-14,16.5,0.0,0.6570861232562306,0.6570861232562306,Longwood
San Jose St.,Colorado St.,-16,2021-01-14,-19.0,1.0,0.6512558015333921,0.6512558015333921,San Jose St.
Oregon St.,Arizona,-7,2021-01-14,-8.0,0.0,0.6510648581884133,0.6510648581884133,Arizona
Pacific,Santa Clara,1,2021-01-14,-3.0,1.0,0.6422153199196592,0.6422153199196592,Pacific
Jacksonville St.,Tennessee St.,6,2021-01-14,6.5,1.0,0.6399887218643382,0.6399887218643382,Jacksonville St.
Indiana,Purdue,3,2021-01-14,3.5,0.0,0.6359917791901077,0.6359917791901077,Purdue
Eastern Washington,Southern Utah,6,2021-01-14,5.5,0.0,0.6355340593194716,0.6355340593194716,Southern Utah
Tennessee Tech,Belmont,-13,2021-01-14,-12.5,0.0,0.6199766521250281,0.6199766521250281,Belmont
UNC Asheville,Charleston Southern,9,2021-01-14,10.0,1.0,0.616035921276006,0.616035921276006,UNC Asheville
Temple,UCF,-3,2021-01-14,-3.5,0.0,0.6009602841287551,0.6009602841287551,UCF
Gonzaga,Pepperdine,25,2021-01-14,25.5,0.0,0.5985585366386206,0.5985585366386206,Pepperdine
Colorado,California,15,2021-01-14,15.0,0.0,0.5668105303613851,0.5668105303613851,California
Eastern Illinois,Morehead St.,6,2021-01-14,6.0,1.0,0.5664522145448614,0.5664522145448614,Eastern Illinois
FIU,Florida Atlantic,6,2021-01-14,5.0,0.0,0.562660715787245,0.562660715787245,Florida Atlantic
Utah,Stanford,-2,2021-01-14,-1.0,1.0,0.5504091537220389,0.5504091537220389,Utah
Campbell,Presbyterian,9,2021-01-14,7.5,1.0,0.5501077572949615,0.5501077572949615,Campbell
Mount St. Mary's,Merrimack,4,2021-01-14,3.5,1.0,0.5464879269031021,0.5464879269031021,Mount St. Mary's
USC,Washington,15,2021-01-14,14.0,1.0,0.5354963516169088,0.5354963516169088,USC
Montana St.,Portland St.,9,2021-01-14,6.5,0.0,0.5319217966118255,0.5319217966118255,Portland St.
St. Francis PA,Bryant,-3,2021-01-14,-6.0,1.0,0.5293791445539254,0.5293791445539254,St. Francis PA
Idaho,Northern Colorado,-7,2021-01-14,-6.0,0.0,0.5216139401106132,0.5216139401106132,Northern Colorado
Saint Mary's,BYU,1,2021-01-14,-0.5,0.0,0.5155178010254162,0.5155178010254162,BYU
Samford,UNC Greensboro,-6,2021-01-14,-6.5,1.0,0.5107048500253162,0.5107048500253162,Samford
