home,away,home_score,away_score,score,date
Oklahoma,Texas,65,69,-4,2021-03-04
Dayton,Rhode Island,84,72,12,2021-03-04
Baylor,Oklahoma St.,81,70,11,2021-03-04
Cincinnati,Vanderbilt,64,78,-14,2021-03-04
East Carolina,UCF,60,64,-4,2021-03-04
Richmond,Duquesne,62,67,-5,2021-03-04
Michigan,Michigan St.,69,50,19,2021-03-04
Jacksonville St.,Murray St.,68,65,3,2021-03-04
Colorado,Arizona St.,75,61,14,2021-03-04
Massachusetts,Saint Joseph's,100,66,34,2021-03-04
Northern Iowa,Illinois St.,65,60,5,2021-03-04
Eastern Kentucky,Austin Peay,70,67,3,2021-03-04
Portland St.,Southern Utah,58,68,-10,2021-03-04
Bradley,Southern Illinois,63,73,-10,2021-03-04
Iowa,Nebraska,102,64,38,2021-03-04
San Francisco,San Diego,67,51,16,2021-03-04
George Mason,George Washington,73,59,14,2021-03-04
West Virginia,TCU,76,67,9,2021-03-04
Bellarmine,Stetson,70,73,-3,2021-03-04
Radford,Campbell,60,78,-18,2021-03-04
Quinnipiac,Saint Peter's,65,60,5,2021-03-04
Lipscomb,Florida Gulf Coast,60,72,-12,2021-03-04
Rider,Monmouth,74,77,-3,2021-03-04
North Florida,North Alabama,60,68,-8,2021-03-04
North Carolina Central,Florida A&M,74,71,3,2021-03-04
Siena,Canisius,73,66,7,2021-03-04
Kansas,UTEP,67,62,5,2021-03-04
Prairie View A&M,Southern,68,61,7,2021-03-04
Florida Atlantic,Middle Tennessee,80,50,30,2021-03-04
Manhattan,Fairfield,69,59,10,2021-03-04
McNeese St.,Nicholls St.,67,80,-13,2021-03-04
Utah St.,Wyoming,72,59,13,2021-03-04
Texas Tech,Iowa St.,81,54,27,2021-03-04
Weber St.,Northern Colorado,60,59,1,2021-03-04
Winthrop,Longwood,82,61,21,2021-03-04
Jackson St.,Alabama A&M,50,35,15,2021-03-04
Grambling St.,Alabama St.,91,68,23,2021-03-04
Texas Southern,Alcorn St.,80,78,2,2021-03-04
Santa Clara,Portland,95,86,9,2021-03-04
Liberty,Kennesaw St.,69,59,10,2021-03-04
