home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
San Jose St.,UNLV,-10,2021-02-21,-13.5,0.0,0.7842,UNLV
American,Navy,-3,2021-02-21,-5.5,0.0,0.7586,Navy
South Dakota,Oral Roberts,2,2021-02-21,2.0,0.0,0.7544,Oral Roberts
LIU,Central Connecticut,10,2021-02-21,10.5,1.0,0.7262,LIU
Holy Cross,Army,-7,2021-02-21,-6.0,0.0,0.7014,Army
Albany,Stony Brook,1,2021-02-21,6.0,0.0,0.6799,Stony Brook
Temple,South Florida,2,2021-02-21,-1.0,1.0,0.679,Temple
Texas Southern,Prairie View A&M,2,2021-02-21,-2.0,0.0,0.6726,Prairie View A&M
Wagner,St. Francis PA,7,2021-02-21,6.5,1.0,0.6723,Wagner
Florida A&M,North Carolina A&T,6,2021-02-21,3.0,1.0,0.6703,Florida A&M
St. Francis NY,Sacred Heart,3,2021-02-21,4.5,1.0,0.6666,St. Francis NY
Louisiana Monroe,Little Rock,-3,2021-02-21,-3.5,1.0,0.65,Louisiana Monroe
Iowa,Penn St.,11,2021-02-21,11.5,0.0,0.6364,Penn St.
Niagara,Siena,-3,2021-02-21,-5.0,1.0,0.6248,Niagara
Southern Illinois,Valparaiso,1,2021-02-21,1.5,0.0,0.6194,Valparaiso
Colgate,Boston University,14,2021-02-21,11.0,0.0,0.6152,Boston University
Ohio St.,Michigan,1,2021-02-21,0.5,0.0,0.5943,Michigan
Merrimack,Bryant,-2,2021-02-21,-1.0,1.0,0.5875,Merrimack
Ball St.,Western Michigan,8,2021-02-21,7.5,0.0,0.5861,Western Michigan
Loyola MD,Lehigh,11,2021-02-21,11.0,0.0,0.5751,Lehigh
Drake,Evansville,15,2021-02-21,12.5,1.0,0.5414,Drake
Coastal Carolina,Georgia Southern,8,2021-02-21,6.5,0.0,0.5307,Georgia Southern
Northwestern,Wisconsin,-4,2021-02-21,-6.0,1.0,0.5306,Northwestern
St. Bonaventure,Davidson,4,2021-02-21,4.5,0.0,0.5173,Davidson
Houston,Cincinnati,14,2021-02-21,13.0,0.0,0.5103,Cincinnati
Xavier,Butler,8,2021-02-21,8.5,0.0,0.5097,Butler
