home,away,line,draft_kings,diff,score
Evansville,Northern Iowa,-10.0,-6.0,4.0,6
Minnesota,Ohio St.,-3.0,1.0,4.0,17
Colgate,Army,11.0,7.5,3.5,-2
Western Illinois,North Dakota St.,-11.0,-7.5,3.5,-11
Georgia Tech,Wake Forest,7.0,9.5,2.5,16
Bucknell,Navy,-4.0,-1.5,2.5,-3
Maine,New Hampshire,-7.0,-5.5,1.5,-4
Lafayette,Lehigh,6.0,4.5,1.5,12
SMU,Houston,-4.0,-2.5,1.5,-14
Northeastern,Elon,5.0,6.5,1.5,8
Nebraska Omaha,Oral Roberts,-5.0,-3.5,1.5,-11
George Washington,Duquesne,-9.0,-7.5,1.5,2
Hartford,Binghamton,9.0,8.0,1.0,3
South Dakota,Denver,12.0,12.5,0.5,22
Drake,Southern Illinois,11.0,10.5,0.5,18
Missouri St.,Indiana St.,5.0,5.0,0.0,4
South Carolina St.,North Carolina A&T,-10.0,-10.0,0.0,-7
Michigan,Northwestern,8.0,8.0,0.0,19
Hofstra,William & Mary,11.0,11.0,0.0,9
