home,away,line,draft_kings,diff
California,Washington St.,2.0,-2.5,4.5
Belmont,Southeast Missouri St.,18.0,15.5,2.5
Southern Utah,Idaho,16.0,13.5,2.5
Stanford,Washington,12.0,9.5,2.5
Morehead St.,Tennessee Tech,6.0,3.5,2.5
Northwestern,Illinois,-5.0,-7.0,2.0
Northern Arizona,Idaho St.,0.0,2.0,2.0
Wisconsin,Indiana,7.0,8.5,1.5
Colorado,Oregon,1.0,2.5,1.5
SMU,Cincinnati,7.0,5.5,1.5
Northern Colorado,Montana St.,2.0,3.5,1.5
Eastern Illinois,Murray St.,-2.0,-3.5,1.5
Maryland,Iowa,-5.0,-6.0,1.0
Colorado St.,UNLV,7.0,8.0,1.0
Arizona,USC,2.0,2.5,0.5
Gonzaga,BYU,18.0,17.5,0.5
San Francisco,Portland,18.0,17.5,0.5
Eastern Kentucky,Jacksonville St.,4.0,3.5,0.5
Merrimack,Sacred Heart,4.0,4.0,0.0
Hofstra,Northeastern,4.0,4.0,0.0
Arizona St.,UCLA,-2.0,-2.0,0.0
San Diego St.,Nevada,13.0,13.0,0.0
