home_team,away_team,home_score,away_score
Gonzaga,San Francisco,85,62
Iowa State,Baylor,65,76
Kansas,Texas,59,84
Tennessee,Alabama,63,71
Oklahoma,West Virginia,75,71
Rutgers,Iowa,75,77
Providence,Creighton,65,67
Arkansas,Missouri,68,81
Texas Tech,Oklahoma State,77,82
Illinois,Purdue,66,58
Nebraska,Michigan State,77,84
Oregon,Stanford,73,56
Vermont,Albany (NY),62,63
Washington State,Arizona,82,86
Louisiana-Monroe,Arkansas State,62,55
Colgate,Army,101,57
Texas A&M,Auburn,68,66
UT-Martin,Belmont,69,90
Hartford,Binghamton,76,56
San Jose State,Boise State,86,87
Northern Illinois,Bowling Green State,42,68
Navy,Bucknell,78,69
Seton Hall,Butler,68,60
Long Beach State,Cal State Bakersfield,76,89
UCSB,Cal State Fullerton,65,61
Oregon State,California,73,64
McNeese State,Central Arkansas,67,81
South Florida,UCF,68,61
VMI,Chattanooga,84,79
Miami (FL),Clemson,65,66
IUPUI,Cleveland State,49,59
Delaware,College of Charleston,70,67
UCLA,Colorado,65,62
San Diego State,Colorado State,67,70
South Dakota,Denver,93,54
George Washington,Duquesne,63,75
Tulane,East Carolina,60,56
UNC Greensboro,ETSU,61,71
Austin Peay,Eastern Kentucky,75,80
Northeastern,Elon,75,52
South Carolina,Florida A&M,78,71
La Salle,Fordham,89,52
Dayton,George Mason,74,65
Coastal Carolina,Georgia State,62,70
Alabama State,Grambling,49,66
Youngstown State,Green Bay,69,79
Missouri State,Indiana State,84,74
Northern Kentucky,Purdue-Fort Wayne,70,68
Kennesaw State,Jacksonville,66,72
Mississippi State,Kentucky,73,78
Lehigh,Lafayette,90,89
Abilene Christian,Lamar,83,65
Lipscomb,Liberty,50,66
Florida,LSU,83,79
Boston College,Louisville,64,76
Georgetown,Marquette,60,64
Louisiana Tech,Marshall,73,80
Furman,Mercer,83,80
Arkansas-Pine Bluff,Mississippi Valley State,92,52
North Dakota,UMKC,52,45
Murray State,Morehead State,56,61
Bellarmine,Mt. St. Joseph,90,38
New Mexico,Nevada,74,84
Maine,New Hampshire,59,56
Stephen F. Austin,New Orleans,78,67
Marist,Niagara,72,86
UMass-Lowell,NJIT,67,73
South Carolina State,North Carolina A&T,86,97
Western Illinois,North Dakota State,50,68
Loyola (IL),North Texas,57,49
Idaho,Northern Arizona,78,83
Montana,Northern Colorado,62,64
Evansville,Northern Iowa,65,61
Houston Baptist,Northwestern State,99,93
UNC,Notre Dame,66,65
Ball State,Ohio,68,78
Florida International,Old Dominion,66,71
Omaha,Oral Roberts,83,95
Fairfield,Rider,72,56
Canisius,St. Peter's,63,60
Nicholls State,Sam Houston State,81,84
Wofford,Samford,94,84
Georgia Southern,South Alabama,62,49
Richmond,St. Bonaventure,66,69
Southeast Missouri State,Tennessee State,83,79
Eastern Illinois,Tennessee Tech,87,81
Little Rock,Texas-Arlington,75,62
Kansas State,TCU,60,67
Southern Miss,UTEP,62,77
Rice,UTSA,84,69
Louisiana,Texas State,59,71
Western Michigan,Toledo,59,70
Appalachian State,Troy,90,59
Cincinnati,Tulsa,66,70
USC,Utah,64,46
Air Force,Utah State,53,72
Weber State,Utah Valley,70,62
Charlotte,Western Kentucky,75,71
Ole Miss,Wichita State,79,83
Hofstra,William & Mary,61,56
Oakland,Wright State,81,71
Fresno State,Wyoming,74,78
